#Col 1 - KOI
#Col 2 - KIC
#Col 3 - 1==good ephemeris match to TCE ; 2=degraded match to TCE or twice/half ephemeris match, but still acceptable
#Col 4 - Phase of secondary - weak secondary test is still triggering near the primary sometimes; filter on proximity
#Col 5- 2ndary depth [ppm]
#Col 6 - uncertainty in 2ndary depth [ppm]
#Col 7 - MES/significance of secondary
#
KOI,kepid,matchflag,phase,depth,e_depth,mes
1.01,11446443,1,0.049330,0.95,1.74,5.94
2.01,10666592,1,-0.499527,63.91,1.75,44.66
3.01,10748390,1,0.298363,7.18,2.05,3.06
4.01,3861595,1,0.495587,60.23,5.82,10.88
5.01,8554498,1,-0.083676,6.11,2.67,2.83
6.01,3248033,1,0.086668,18.21,2.71,5.90
7.01,11853905,1,0.445076,2.70,2.30,1.06
8.01,5903312,1,0.609426,14.13,2.52,5.80
9.01,11553706,1,0.498742,285.76,5.25,65.23
10.01,6922244,1,0.044358,0.00,-1.00,0.00
11.01,11913073,1,0.503049,27.63,5.41,6.20
12.01,5812701,1,0.079726,60.22,17.61,2.94
13.01,9941662,1,0.500309,38.25,1.06,59.45
14.01,7684873,1,-0.490904,77.14,1.35,61.35
15.01,3964562,1,0.499315,177.32,4.40,60.44
16.01,9110357,1,-0.108207,0.38,4.85,1.79
17.01,10874614,1,0.505173,10.37,3.73,3.62
18.01,8191672,1,0.500937,18.14,3.26,6.18
19.01,7255336,1,0.716837,0.43,1.71,0.96
20.01,11804465,1,0.111385,21.28,4.78,3.82
21.01,10125352,1,0.500117,259.24,6.05,41.58
22.01,9631995,1,-0.126014,7.01,5.58,2.18
23.01,9071386,1,0.500689,256.48,5.87,60.85
24.01,4743513,1,0.499654,121.99,4.02,38.68
25.01,10593759,1,-0.217802,12.43,6.07,3.27
26.01,5021737,1,0.538961,5818.53,94.60,1183.26
27.01,3832716,1,0.500822,69456.24,1187.81,1597.30
28.01,4247791,2,0.235978,-9.23,4.74,14.89
31.01,6956014,1,0.226207,0.73,1.42,2.33
33.01,5725087,2,0.490688,17.12,1.69,11.31
41.01,6521045,1,-0.431874,8.75,3.24,2.99
41.02,6521045,1,0.500432,5.19,2.38,3.44
41.03,6521045,1,0.375047,21.60,5.56,3.91
42.01,8866102,1,0.369823,6.25,2.78,2.77
43.01,9025922,1,0.736462,930.01,36.10,31.35
44.01,8845026,1,0.326378,425.93,37.82,13.90
45.01,3742855,1,0.494261,1175.05,24.70,50.24
46.01,10905239,1,0.671808,6.38,4.37,1.93
46.02,10905239,2,0.562533,12.32,6.08,2.14
48.01,7837302,1,0.172588,50.69,9.82,4.31
49.01,9527334,1,0.147346,22.21,8.99,3.13
51.01,6056992,1,0.228185,139.41,57.69,2.45
52.01,3558981,1,0.502032,1654.94,24.25,95.63
53.01,2445975,1,0.061476,229.52,21.24,8.13
61.01,8248939,1,0.579113,7.57,3.32,3.02
63.01,11554435,1,-0.160654,9.82,6.06,3.10
64.01,7051180,1,0.499722,55.67,4.42,12.56
69.01,3544595,1,0.747448,1.88,1.15,3.77
70.01,6850504,1,0.060242,7.47,6.20,3.82
70.02,6850504,1,0.138095,2.28,3.63,7.66
70.03,6850504,1,0.728910,48.66,12.59,3.56
70.04,6850504,1,-0.119504,9.54,4.37,2.76
70.05,6850504,1,0.201435,18.82,7.79,2.98
72.01,11904151,1,-0.197752,3.38,1.13,3.76
72.02,11904151,1,-0.150225,16.10,5.61,3.70
74.01,6889235,2,0.564183,0.67,1.02,1.34
75.01,7199397,1,0.184754,23.63,8.02,3.23
76.01,9955262,1,0.646502,114.70,26.49,4.39
80.01,9552608,1,0.652046,92.41,2.97,31.29
81.01,8823868,1,-0.046500,12.47,3.55,2.92
82.01,10187017,1,0.642912,6.27,5.23,2.94
82.02,10187017,1,-0.248360,11.45,3.91,2.77
82.03,10187017,1,-0.182104,13.05,6.20,3.51
82.04,10187017,1,0.090152,6.74,3.31,2.57
82.05,10187017,1,0.179581,6.22,3.04,2.12
84.01,2571238,1,0.200956,10.50,3.40,2.41
85.01,5866724,1,0.441690,3.44,2.31,2.13
85.02,5866724,1,0.623866,-0.75,1.32,1.23
85.03,5866724,1,0.240234,5.37,2.63,2.27
87.01,10593626,1,0.098785,56.87,13.02,3.98
88.01,7700871,1,-0.084465,4.43,1.59,2.70
89.01,8056665,1,0.546820,7.47,5.96,5.66
89.02,8056665,1,0.189395,34.13,9.59,3.73
90.01,9210823,1,0.226395,1.86,3.76,0.84
92.01,7941200,1,0.712790,23.62,9.68,4.44
94.01,6462863,1,0.488966,-20.48,10.09,12.71
94.02,6462863,1,-0.148328,15.22,6.40,2.21
94.03,6462863,1,-0.137180,17.15,15.08,11.73
94.04,6462863,1,0.227454,8.02,3.73,2.50
97.01,5780885,1,0.498094,38.86,3.35,14.29
98.01,10264660,1,0.146362,11.13,4.23,3.43
100.01,4055765,1,0.419096,27.64,9.13,2.30
102.01,8456679,1,0.494679,1.15,2.19,1.99
102.02,8456679,1,0.568400,9.17,3.18,3.66
103.01,2444412,1,0.468750,23.10,8.70,2.76
104.01,10318874,1,0.399960,7.16,4.40,1.82
105.01,8711794,1,0.534085,14.72,6.76,2.55
106.01,10489525,1,0.119528,18.26,4.55,2.68
107.01,11250587,1,0.216813,7.82,3.67,2.78
108.01,4914423,1,0.336167,15.41,4.40,9.59
108.02,4914423,1,0.385855,39.20,9.84,3.70
109.01,4752451,1,-0.499056,88.30,3.95,22.82
110.01,9450647,1,0.706740,10.78,3.66,2.29
111.01,6678383,1,-0.149007,-1.48,3.59,7.25
111.02,6678383,1,0.611523,11.83,4.43,2.19
111.03,6678383,1,0.308140,7.05,5.91,5.18
112.01,10984090,1,0.109610,18.96,7.38,2.76
112.02,10984090,1,0.666370,6.60,2.75,2.30
114.01,6721123,1,0.510711,32.03,4.19,8.14
115.01,9579641,1,0.300245,6.59,3.82,2.92
115.02,9579641,1,-0.149226,14.32,4.41,3.50
115.03,9579641,1,0.295597,9.27,3.30,2.11
116.01,8395660,1,-0.158601,24.03,7.11,5.15
116.02,8395660,1,0.454244,29.77,9.83,2.72
116.03,8395660,1,0.212128,10.79,4.71,2.80
116.04,8395660,1,0.485605,23.00,7.72,3.24
117.01,10875245,1,-0.173639,11.93,6.47,3.00
117.02,10875245,1,0.268198,4.81,3.77,1.67
117.03,10875245,1,0.393844,6.79,3.05,2.81
117.04,10875245,1,-0.207120,16.19,4.74,3.22
118.01,3531558,1,0.429766,6.43,5.57,2.23
119.01,9471974,1,0.472502,9.73,7.12,10.65
119.02,9471974,1,-0.222389,46.82,12.94,3.83
120.01,11869052,1,0.082895,22.74,6.93,3.85
121.01,3247396,1,0.500629,50.13,5.82,8.03
122.01,8349582,1,-0.105077,8.31,4.49,2.33
123.01,5094751,1,0.563898,6.45,3.03,2.73
123.02,5094751,1,0.054561,9.13,4.99,2.20
124.01,11086270,1,0.436331,27.78,5.83,8.95
124.02,11086270,1,0.587069,25.51,6.51,3.17
125.01,11449844,1,0.032924,64.07,24.48,3.00
126.01,5897826,1,-0.214600,21.76,9.56,2.70
127.01,8359498,1,-0.150190,6.18,6.29,1.37
128.01,11359879,1,0.212243,11.62,5.72,2.28
129.01,11974540,1,0.359750,59.57,20.07,3.47
130.01,5297298,1,0.436472,27.73,10.45,2.96
131.01,7778437,1,0.668558,10.21,9.73,1.73
132.01,8892910,1,0.499651,130.37,7.65,16.31
133.01,11673674,1,0.499912,90.29,6.71,15.47
135.01,9818381,1,0.499464,15.30,5.98,2.48
136.01,7601633,1,0.169380,60.04,16.34,3.12
137.01,8644288,1,0.737950,18.77,6.46,2.72
137.02,8644288,1,0.629619,-17.60,9.31,18.66
137.03,8644288,1,0.469764,7.62,5.20,1.91
138.01,8506766,1,0.123454,49.09,16.14,2.59
139.01,8559644,1,0.369110,66.33,28.83,3.37
139.02,8559644,1,0.646522,9.97,4.25,2.15
140.01,5130369,1,0.461618,141.58,8.18,16.69
141.01,12105051,1,0.147663,13.05,6.57,2.44
143.01,4649305,1,0.012028,357.95,13.97,23.51
144.01,4180280,1,0.570827,6.45,6.73,1.31
145.01,9904059,1,0.098631,149.85,43.27,3.58
146.01,9048161,1,0.500309,74.77,6.01,13.13
147.01,1996679,1,-0.107629,473.25,41.94,12.89
148.01,5735762,1,0.463057,9.48,5.23,2.67
148.02,5735762,1,0.269659,18.65,8.14,3.52
148.03,5735762,1,0.133855,26.82,12.46,2.90
149.01,3835670,1,0.230796,9.80,5.64,0.15
150.01,7626506,1,0.737562,10.97,6.16,3.83
150.02,7626506,1,0.729212,22.41,11.21,2.16
151.01,2307199,1,0.017429,115.84,13.39,7.07
152.01,8394721,1,0.611258,68.13,23.91,4.11
152.02,8394721,1,0.101910,35.01,15.24,3.82
152.03,8394721,1,0.259124,26.78,11.87,2.88
152.04,8394721,1,0.012688,113.84,30.52,3.53
153.01,12252424,1,0.219193,22.07,7.98,2.39
153.02,12252424,1,0.218018,6.51,5.83,3.01
155.01,8030148,1,0.109496,10.04,4.37,2.04
156.01,10925104,1,0.075392,21.79,9.38,3.65
156.02,10925104,1,0.403735,20.79,7.85,2.63
156.03,10925104,1,0.311632,32.38,12.11,2.79
157.01,6541920,1,0.104588,7.47,7.95,3.96
157.02,6541920,1,0.645735,14.18,10.33,3.40
157.03,6541920,1,-0.143482,46.45,15.07,7.77
157.04,6541920,1,0.311489,34.49,12.47,3.23
157.05,6541920,1,0.361508,106.32,24.87,5.22
157.06,6541920,1,-0.226732,18.76,7.26,2.57
158.01,10555375,1,0.569379,22.72,7.44,3.01
159.01,8972058,1,0.718943,24.79,5.68,3.62
159.02,8972058,1,0.647452,13.02,4.49,3.16
160.01,6631721,1,0.597788,36.73,9.76,3.71
161.01,5084942,1,0.675979,8.32,5.35,2.21
162.01,8107380,1,0.568664,14.19,7.79,2.40
163.01,6851425,1,0.323775,11.17,6.73,2.23
164.01,5652237,1,0.492772,12.29,5.35,2.24
165.01,9527915,1,0.122902,18.80,10.78,2.49
166.01,2441495,1,0.626472,17.59,9.97,2.55
167.01,11666881,1,0.063687,21.39,4.42,4.27
168.01,11512246,1,0.545915,17.49,5.95,2.37
168.02,11512246,1,0.727292,16.22,6.74,2.55
168.03,11512246,1,0.551477,13.96,4.82,2.57
169.01,6185711,1,0.684176,28.90,11.06,3.00
170.01,11044770,1,0.719415,93.71,8.15,12.53
171.01,7831264,1,0.356390,16.27,5.81,2.54
171.02,7831264,1,0.138149,12.26,8.90,3.06
172.01,8692861,1,0.677373,18.99,6.45,2.53
172.02,8692861,1,0.052136,71.30,22.93,3.50
173.01,11402995,1,0.680459,17.38,5.81,2.85
174.01,10810838,1,0.518594,71.06,21.60,3.57
175.01,8323753,1,-0.236438,24.27,6.44,3.63
176.01,6442377,1,0.126178,21.65,7.97,2.74
177.01,6803202,1,0.510676,20.76,6.40,3.14
178.01,11455491,1,0.509900,38.21,3.63,9.76
179.01,9663113,1,0.491635,19.49,9.52,4.67
180.01,9573539,1,0.742348,20.65,6.59,2.58
181.01,12504988,1,0.499922,832.93,14.67,61.27
182.01,5376836,1,0.498840,477.86,14.61,40.61
183.01,9651668,1,-0.292980,22.22,6.84,2.81
184.01,7972785,1,0.500068,277.38,10.26,26.41
185.01,4178389,1,-0.062651,96.17,27.80,3.29
186.01,12019440,1,0.416099,29.78,10.78,2.04
187.01,7023960,1,0.148874,328.44,22.16,15.21
188.01,5357901,1,0.061451,26.26,9.33,2.99
189.01,11391018,1,0.047786,79.49,21.86,4.90
190.01,5771719,1,0.432995,131.49,17.43,7.58
191.01,5972334,1,0.216414,38.86,23.98,1.33
191.02,5972334,1,0.267050,17.56,10.95,1.15
